"","day","NO2_mean","SO2_mean","Ozone_mean","PM2.5_mean","NO2_sd","SO2_sd","Ozone_sd","PM2.5_sd","NO2_median","SO2_median","Ozone_median","PM2.5_median","NO2_IQR","SO2_IQR","Ozone_IQR","PM2.5_IQR"
"245",2018-09-02,16.7691666666667,7.24958333333333,5.6125,28.2708333333333,6.44718200434123,3.3681932702559,3.06698159221025,7.13035331563571,15.965,6.575,4.705,28.5,5.965,5.3225,4.7475,11.4375
"246",2018-09-03,18.7929166666667,7.67958333333333,5.62363636363636,28.4891304347826,9.7111318818939,2.56376502885666,2.68327544235904,12.7850405883536,16.78,7.375,6.1,26.25,15.1575,4.4975,3.295,15
"247",2018-09-04,NA,8.18217391304348,6.09521739130435,29.8958333333333,NA,2.46883659852118,3.51709961805465,9.85931381185221,NA,8.4,6.08,30.125,NA,3.8,5.09,11.8125
"248",2018-09-05,20.4066666666667,7.44708333333333,5.46045454545455,29.9895833333333,7.73671128124059,2.20209086249107,2.50148808525898,11.7993826217147,20.02,7.475,5.245,29.125,7.73,2.6475,2.805,13.3125
"249",2018-09-06,19.895,7.75583333333333,5.60041666666667,21.7916666666667,7.89699832902956,2.39472593814837,1.64562523909189,7.22528270346064,19.635,7.7,6.15,19.5,12.1625,2.32,2.6225,12
"250",2018-09-07,19.1475,8.22166666666667,5.70541666666667,24.5568181818182,7.63538401984044,2.85934572428982,2.10135562697381,7.06893430801859,18.185,8.7,5.215,23,10.61,3.7,3.0925,12.3125
"251",2018-09-08,19.7375,6.87375,5.43083333333333,22.6304347826087,8.04044463944625,2.44143367093297,2.48709349602523,6.13987968364562,19.86,6.815,5.17,22.75,14.3625,2.01,3.1575,7.875
"252",2018-09-09,18.3916666666667,7.32416666666667,9.96863636363636,22.34375,12.1692587272609,1.45028008289454,4.94995747500208,9.35670315986027,13.425,6.95,8.18,20,5.6075,1.875,8.4525,9.1875
"253",2018-09-10,27.52625,7.93125,9.02916666666667,36.0520833333333,12.225364513993,2.77681599412302,6.10594287606731,13.3790839288556,24.55,8.125,7.205,33.875,20.5375,3.55,11.6375,21.5625
"254",2018-09-11,27.36,7.51916666666667,14.7245833333333,33.34375,11.5584522056936,2.9442396474216,6.32403900873943,8.25207895413134,24.28,7.525,13.355,33.125,12.595,2.61,7.105,13.3125
"255",2018-09-12,32.7029166666667,9.515,15.02625,32.71875,13.1215794645663,2.74281987552322,10.3317332240551,12.6892869270653,29.615,9.81,15.875,35.125,13.075,3.2725,12.3,23
"256",2018-09-13,28.15875,8.07041666666667,8.06625,33.1739130434783,11.6281948625257,1.52220229235164,6.78883598430093,7.91554669284695,26.815,8.35,5.365,32.25,19.9175,1.9275,10.53,11.5
"257",2018-09-14,32.7866666666667,8.245,14.4508333333333,32.46875,17.1311936858308,2.28026695614885,13.7960400483071,6.47164068472392,25.685,8.16,9.43,31.125,29.6175,2.9575,14.58,8.375
"258",2018-09-15,34.9104166666667,9.05708333333333,12.1154545454545,36.6630434782609,11.6091809542076,2.39420401434774,5.16482584159679,11.3118523661056,37.585,9.135,12.885,34.75,16.49,2.775,5.57,7.875
"259",2018-09-16,28.7141666666667,6.46958333333333,9.09,34.7291666666667,13.9611208334982,2.52863338097129,4.4369324989231,10.7146579472952,23.815,6.19,8.13,31.125,15.9675,3.6075,4.66,11.25
"260",2018-09-17,23.1429166666667,8.64875,5.04833333333333,24.6195652173913,7.82921200941741,1.64354683403065,2.70689404342299,8.54628759289982,21,8.345,5.44,23.5,9.5025,2.4375,3.565,11
"261",2018-09-18,21.8245833333333,9.1425,4.5875,39.8369565217391,7.9309251498097,2.1780790299871,2.29304856885554,11.5226083831991,21.8,9.1,4.335,36.5,9.8525,3.39,3.9,12
"262",2018-09-19,22.845,8.55652173913044,5.67166666666667,31.5326086956522,10.4665969719825,2.10320233906569,3.19120212686266,8.79285103075287,20.405,7.85,5.095,28.5,11.095,3.075,4.975,10.875
"263",2018-09-20,28.20125,8.86708333333333,7.9125,31.6630434782609,12.2516470276981,2.31312602180547,3.93872993213052,7.22157778956586,25.57,8.26,7.94,30.5,13.4475,2.03,6.42,11.375
"264",2018-09-21,28.96125,8.92333333333333,8.04708333333333,34.9479166666667,11.4077297640488,2.35481314068362,4.99815398893446,9.29263943370922,27.28,8.375,7.745,34.625,8.8625,2.8025,7.5925,6.8125
